id,x,y
1,94,3801
2,502,3986
3,2582,647
4,1630,4560
5,3500,3023
6,356,903
7,3060,3980
8,4476,3195
9,4778,4968
10,359,3929
11,530,4466
12,724,3201
13,3435,4364
14,2273,4006
15,647,1475
16,3278,174
17,4074,1681
18,505,758
19,2541,2607
20,1557,2439
21,2577,102
22,542,4897
23,3923,1299
24,537,3113
25,4239,2841
26,3257,3111
27,1022,2641
28,2349,2309
29,853,3995
30,4008,1432
31,1389,3141
32,2397,1338
33,1674,93
34,2878,4555
35,4314,1735
36,4952,880
37,3695,3650
38,4667,1494
39,2580,2662
40,130,227
41,1608,3338
42,17,1408
43,3133,144
44,2877,2229
45,4154,1498
46,3497,1818
47,2861,3449
48,539,4090
49,490,3923
50,3560,3898
51,4164,1458
52,2926,1655
53,3713,2899
54,3117,3008
55,4027,866
56,132,724
57,21,2469
58,3200,2724
59,1211,1284
60,196,370
61,4495,4369
62,3682,1158
63,781,2330
64,3276,2688
65,4231,1305
66,1911,1791
67,1437,3718
68,1610,3648
69,3542,652
70,973,805
71,596,3130
72,3174,1380
73,2085,3127
74,4787,1411
75,3870,2968
76,3928,3536
77,244,1894
78,3259,2366
79,1040,138
80,4227,2621
81,1263,514
82,2927,4208
83,2889,3366
84,256,2023
85,773,1385
86,64,4139
87,817,4620
88,2761,3110
89,4024,365
90,2136,3259
91,4462,4948
92,1300,1979
93,3618,3617
94,4656,4078
95,4246,2384
96,2225,826
97,371,3330
98,2892,2939
99,931,2481
100,1866,3380
